START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Starting_Date,Time,Start_Hour,Minutes,Round_Trip,Months,WEEKDAYS,Ride_duration
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016-01-01,21.0,Night,0 days 00:06:00,yes,Jan,Friday,6.0
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,NOT,2016-01-02,1.0,Morning,0 days 00:12:00,yes,Jan,Saturday,12.0
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016-01-02,20.0,Night,0 days 00:13:00,yes,Jan,Saturday,13.0
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016-01-05,17.0,Evening,0 days 00:14:00,yes,Jan,Tuesday,14.0
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016-01-06,15.0,Afternoon,0 days 01:07:00,no,Jan,Wednesday,67.0
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016-01-06,17.0,Evening,0 days 00:04:00,yes,Jan,Wednesday,4.0
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,2016-01-06,17.0,Evening,0 days 00:05:00,no,Jan,Wednesday,5.0
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,2016-01-07,13.0,Afternoon,0 days 00:06:00,yes,Jan,Thursday,6.0
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,2016-01-10,8.0,Morning,0 days 00:20:00,no,Jan,Sunday,20.0
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,2016-01-10,12.0,Afternoon,0 days 00:27:00,no,Jan,Sunday,27.0
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,2016-01-10,15.0,Afternoon,0 days 00:43:00,no,Jan,Sunday,43.0
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,2016-01-10,18.0,Evening,0 days 00:35:00,no,Jan,Sunday,35.0
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,2016-01-10,19.0,Evening,0 days 00:20:00,no,Jan,Sunday,20.0
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,2016-01-11,9.0,Morning,0 days 00:26:00,no,Jan,Monday,26.0
